## ExecutionTime: 2026-04-09 22:00:14
Line,IP,Latency(ms),Packet Loss(%)
CM,172.64.229.164,51.83,0.0
CM,172.64.229.160,52.07,0.0
CM,162.159.42.141,75.83,0.0
CM,172.64.145.15,75.93,0.0
CT,104.18.46.111,73.83,0.0
CT,162.159.43.190,73.7,0.0
CT,162.159.42.141,74.24,0.0
CT,172.64.158.41,74.26,0.0
CU,104.17.11.223,173.59,0.0
CU,172.65.234.53,187.76,0.0
CU,172.65.228.59,187.57,0.0
CU,172.64.153.7,177.73,0.29
AllAvg,172.64.153.7,109.23,0.1
AllAvg,104.18.46.111,111.86,0.12
AllAvg,172.64.147.127,112.64,0.19
AllAvg,162.159.42.141,109.52,0.29
